analysis_set,signal,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,answer_uncertainty,0.84,84,0.5595238095238095,0.44047619047619047
archehr_test,answer_uncertainty,0.85,85,0.5617647058823529,0.43823529411764706
archehr_test,answer_uncertainty,0.86,86,0.563953488372093,0.436046511627907
archehr_test,answer_uncertainty,0.87,87,0.5660919540229885,0.4339080459770115
archehr_test,answer_uncertainty,0.88,88,0.5681818181818182,0.43181818181818177
archehr_test,answer_uncertainty,0.89,89,0.5730337078651685,0.4269662921348315
archehr_test,answer_uncertainty,0.9,90,0.5777777777777777,0.4222222222222223
archehr_test,answer_uncertainty,0.91,91,0.5824175824175825,0.41758241758241754
archehr_test,answer_uncertainty,0.92,92,0.5869565217391305,0.4130434782608695
archehr_test,answer_uncertainty,0.93,93,0.5806451612903226,0.4193548387096774
archehr_test,answer_uncertainty,0.94,94,0.5851063829787234,0.4148936170212766
archehr_test,answer_uncertainty,0.95,95,0.5789473684210527,0.42105263157894735
archehr_test,answer_uncertainty,0.96,96,0.5833333333333334,0.41666666666666663
archehr_test,answer_uncertainty,0.97,97,0.5876288659793815,0.41237113402061853
archehr_test,answer_uncertainty,0.98,98,0.5816326530612245,0.41836734693877553
archehr_test,answer_uncertainty,0.99,99,0.5858585858585859,0.41414141414141414
archehr_test,answer_uncertainty,1.0,100,0.59,0.41000000000000003
archehr_test,combined_uncertainty,0.01,1,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.02,2,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.03,3,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.04,4,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.05,5,0.44117647058823534,0.5588235294117647
archehr_test,combined_uncertainty,0.06,6,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.07,7,0.4411764705882352,0.5588235294117647
archehr_test,combined_uncertainty,0.08,8,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.09,9,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.1,10,0.44117647058823534,0.5588235294117647
archehr_test,combined_uncertainty,0.11,11,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.12,12,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.13,13,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.14,14,0.4411764705882352,0.5588235294117647
archehr_test,combined_uncertainty,0.15,15,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.16,16,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.17,17,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.18,18,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.19,19,0.44117647058823534,0.5588235294117647
archehr_test,combined_uncertainty,0.2,20,0.44117647058823534,0.5588235294117647
archehr_test,combined_uncertainty,0.21,21,0.4411764705882352,0.5588235294117647
archehr_test,combined_uncertainty,0.22,22,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.23,23,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.24,24,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.25,25,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.26,26,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.27,27,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.28,28,0.4411764705882352,0.5588235294117647
archehr_test,combined_uncertainty,0.29,29,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.3,30,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.31,31,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.32,32,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.33,33,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.34,34,0.4411764705882353,0.5588235294117647
archehr_test,combined_uncertainty,0.35,35,0.42857142857142855,0.5714285714285714
