analysis_set,case_id,threshold,answer_uncertainty,n_answer_clusters
archehr_test,archehr_64,0.25,-0.0,1
archehr_test,archehr_64,0.3,-0.0,1
archehr_test,archehr_65,0.05,0.8568636235841012,8
archehr_test,archehr_65,0.1,0.6989700043360187,6
archehr_test,archehr_65,0.15,0.55583362792012,4
archehr_test,archehr_65,0.2,0.29228525323862886,2
archehr_test,archehr_65,0.25,-0.0,1
archehr_test,archehr_65,0.3,-0.0,1
archehr_test,archehr_66,0.05,-0.0,1
archehr_test,archehr_66,0.1,-0.0,1
archehr_test,archehr_66,0.15,-0.0,1
archehr_test,archehr_66,0.2,-0.0,1
archehr_test,archehr_66,0.25,-0.0,1
archehr_test,archehr_66,0.3,-0.0,1
archehr_test,archehr_67,0.05,0.7364516253185087,6
archehr_test,archehr_67,0.1,0.5073786214160918,4
archehr_test,archehr_67,0.15,0.5073786214160918,4
archehr_test,archehr_67,0.2,0.2775280104064451,3
archehr_test,archehr_67,0.25,0.14118174150460758,2
archehr_test,archehr_67,0.3,-0.0,1
archehr_test,archehr_68,0.05,-0.0,1
archehr_test,archehr_68,0.1,-0.0,1
archehr_test,archehr_68,0.15,-0.0,1
archehr_test,archehr_68,0.2,-0.0,1
archehr_test,archehr_68,0.25,-0.0,1
archehr_test,archehr_68,0.3,-0.0,1
archehr_test,archehr_69,0.05,0.6762456261857126,5
archehr_test,archehr_69,0.1,0.5785580060704263,4
archehr_test,archehr_69,0.15,0.5785580060704263,4
archehr_test,archehr_69,0.2,0.4126972515042214,3
archehr_test,archehr_69,0.25,0.21732201127364886,2
archehr_test,archehr_69,0.3,-0.0,1
archehr_test,archehr_70,0.05,-0.0,1
archehr_test,archehr_70,0.1,-0.0,1
archehr_test,archehr_70,0.15,-0.0,1
archehr_test,archehr_70,0.2,-0.0,1
archehr_test,archehr_70,0.25,-0.0,1
archehr_test,archehr_70,0.3,-0.0,1
archehr_test,archehr_71,0.05,0.4096910013008056,3
archehr_test,archehr_71,0.1,0.30102999566398114,2
archehr_test,archehr_71,0.15,0.30102999566398114,2
archehr_test,archehr_71,0.2,-0.0,1
archehr_test,archehr_71,0.25,-0.0,1
archehr_test,archehr_71,0.3,-0.0,1
archehr_test,archehr_72,0.05,0.40843137199002016,4
archehr_test,archehr_72,0.1,-0.0,1
archehr_test,archehr_72,0.15,-0.0,1
archehr_test,archehr_72,0.2,-0.0,1
archehr_test,archehr_72,0.25,-0.0,1
archehr_test,archehr_72,0.3,-0.0,1
archehr_test,archehr_73,0.05,0.4096910013008056,3
archehr_test,archehr_73,0.1,0.30102999566398114,2
archehr_test,archehr_73,0.15,0.30102999566398114,2
archehr_test,archehr_73,0.2,-0.0,1
archehr_test,archehr_73,0.25,-0.0,1
archehr_test,archehr_73,0.3,-0.0,1
archehr_test,archehr_74,0.05,-0.0,1
archehr_test,archehr_74,0.1,-0.0,1
archehr_test,archehr_74,0.15,-0.0,1
archehr_test,archehr_74,0.2,-0.0,1
archehr_test,archehr_74,0.25,-0.0,1
archehr_test,archehr_74,0.3,-0.0,1
archehr_test,archehr_75,0.05,0.14118174150460758,2
archehr_test,archehr_75,0.1,-0.0,1
archehr_test,archehr_75,0.15,-0.0,1
archehr_test,archehr_75,0.2,-0.0,1
archehr_test,archehr_75,0.25,-0.0,1
archehr_test,archehr_75,0.3,-0.0,1
archehr_test,archehr_76,0.05,0.2775280104064451,3
archehr_test,archehr_76,0.1,-0.0,1
archehr_test,archehr_76,0.15,-0.0,1
archehr_test,archehr_76,0.2,-0.0,1
archehr_test,archehr_76,0.25,-0.0,1
archehr_test,archehr_76,0.3,-0.0,1
archehr_test,archehr_77,0.05,0.796657624451305,7
archehr_test,archehr_77,0.1,0.5183520069376301,4
archehr_test,archehr_77,0.15,0.14118174150460758,2
archehr_test,archehr_77,0.2,-0.0,1
archehr_test,archehr_77,0.25,-0.0,1
archehr_test,archehr_77,0.3,-0.0,1
archehr_test,archehr_78,0.05,0.4729032506370176,3
archehr_test,archehr_78,0.1,0.2652949955741215,2
archehr_test,archehr_78,0.15,-0.0,1
archehr_test,archehr_78,0.2,-0.0,1
archehr_test,archehr_78,0.25,-0.0,1
archehr_test,archehr_78,0.3,-0.0,1
archehr_test,archehr_79,0.05,0.21732201127364886,2
archehr_test,archehr_79,0.1,0.21732201127364886,2
archehr_test,archehr_79,0.15,-0.0,1
archehr_test,archehr_79,0.2,-0.0,1
archehr_test,archehr_79,0.25,-0.0,1
archehr_test,archehr_79,0.3,-0.0,1
archehr_test,archehr_80,0.05,0.7364516253185087,6
archehr_test,archehr_80,0.1,0.30102999566398114,2
archehr_test,archehr_80,0.15,-0.0,1
archehr_test,archehr_80,0.2,-0.0,1
archehr_test,archehr_80,0.25,-0.0,1
archehr_test,archehr_80,0.3,-0.0,1
archehr_test,archehr_81,0.05,0.29228525323862886,2
archehr_test,archehr_81,0.1,-0.0,1
archehr_test,archehr_81,0.15,-0.0,1
archehr_test,archehr_81,0.2,-0.0,1
archehr_test,archehr_81,0.25,-0.0,1
archehr_test,archehr_81,0.3,-0.0,1
archehr_test,archehr_82,0.05,-0.0,1
archehr_test,archehr_82,0.1,-0.0,1
archehr_test,archehr_82,0.15,-0.0,1
archehr_test,archehr_82,0.2,-0.0,1
archehr_test,archehr_82,0.25,-0.0,1
archehr_test,archehr_82,0.3,-0.0,1
archehr_test,archehr_83,0.05,0.5301029995663982,4
archehr_test,archehr_83,0.1,-0.0,1
archehr_test,archehr_83,0.15,-0.0,1
archehr_test,archehr_83,0.2,-0.0,1
archehr_test,archehr_83,0.25,-0.0,1
archehr_test,archehr_83,0.3,-0.0,1
archehr_test,archehr_84,0.05,0.34822537285722394,3
archehr_test,archehr_84,0.1,0.21732201127364886,2
archehr_test,archehr_84,0.15,0.21732201127364886,2
archehr_test,archehr_84,0.2,0.21732201127364886,2
archehr_test,archehr_84,0.25,-0.0,1
archehr_test,archehr_84,0.3,-0.0,1
archehr_test,archehr_85,0.05,-0.0,1
archehr_test,archehr_85,0.1,-0.0,1
archehr_test,archehr_85,0.15,-0.0,1
archehr_test,archehr_85,0.2,-0.0,1
archehr_test,archehr_85,0.25,-0.0,1
archehr_test,archehr_85,0.3,-0.0,1
archehr_test,archehr_86,0.05,-0.0,1
archehr_test,archehr_86,0.1,-0.0,1
archehr_test,archehr_86,0.15,-0.0,1
archehr_test,archehr_86,0.2,-0.0,1
archehr_test,archehr_86,0.25,-0.0,1
archehr_test,archehr_86,0.3,-0.0,1
archehr_test,archehr_87,0.05,0.5903089986991943,5
archehr_test,archehr_87,0.1,0.14118174150460758,2
archehr_test,archehr_87,0.15,-0.0,1
archehr_test,archehr_87,0.2,-0.0,1
archehr_test,archehr_87,0.25,-0.0,1
archehr_test,archehr_87,0.3,-0.0,1
archehr_test,archehr_88,0.05,0.8193820026016112,7
archehr_test,archehr_88,0.1,0.5183520069376301,4
archehr_test,archehr_88,0.15,0.2775280104064451,3
archehr_test,archehr_88,0.2,0.14118174150460758,2
archehr_test,archehr_88,0.25,-0.0,1
archehr_test,archehr_88,0.3,-0.0,1
archehr_test,archehr_89,0.05,-0.0,1
archehr_test,archehr_89,0.1,-0.0,1
archehr_test,archehr_89,0.15,-0.0,1
archehr_test,archehr_89,0.2,-0.0,1
archehr_test,archehr_89,0.25,-0.0,1
archehr_test,archehr_89,0.3,-0.0,1
archehr_test,archehr_90,0.05,-0.0,1
archehr_test,archehr_90,0.1,-0.0,1
archehr_test,archehr_90,0.15,-0.0,1
archehr_test,archehr_90,0.2,-0.0,1
archehr_test,archehr_90,0.25,-0.0,1
archehr_test,archehr_90,0.3,-0.0,1
archehr_test,archehr_91,0.05,0.2652949955741215,2
archehr_test,archehr_91,0.1,-0.0,1
archehr_test,archehr_91,0.15,-0.0,1
archehr_test,archehr_91,0.2,-0.0,1
archehr_test,archehr_91,0.25,-0.0,1
